Reviewer id,Submission number,Bid
21,2,yes
21,5,yes
21,12,yes
21,15,yes
21,18,yes
21,35,yes
21,14,maybe
21,23,maybe
21,37,maybe
21,38,maybe
21,43,maybe
21,50,maybe
21,1,no
21,3,no
21,4,no
21,6,no
21,7,no
21,8,no
21,10,no
21,19,no
21,20,no
21,22,no
21,24,no
21,25,no
21,26,no
21,27,no
21,28,no
21,29,no
21,30,no
21,31,no
21,33,no
21,34,no
21,39,no
21,40,no
21,41,no
21,42,no
21,44,no
21,45,no
21,46,no
21,47,no
21,48,no
21,49,no
21,51,no
12,4,yes
12,5,yes
12,24,yes
12,31,yes
12,32,yes
12,34,yes
12,38,yes
12,41,yes
12,8,maybe
12,13,maybe
12,16,maybe
12,27,maybe
12,40,maybe
12,43,maybe
12,44,maybe
12,45,maybe
12,1,no
12,2,no
12,3,no
12,6,no
12,7,no
12,9,no
12,10,no
12,12,no
12,14,no
12,15,no
12,19,no
12,20,no
12,21,no
12,22,no
12,23,no
12,25,no
12,26,no
12,28,no
12,29,no
12,30,no
12,33,no
12,35,no
12,36,no
12,37,no
12,39,no
12,42,no
12,46,no
12,48,no
12,49,no
12,50,no
12,51,no
13,0,yes
13,14,yes
13,19,yes
13,38,yes
13,43,yes
13,2,maybe
13,13,maybe
13,35,maybe
13,37,maybe
13,40,maybe
13,46,maybe
13,47,maybe
13,49,maybe
13,51,maybe
13,3,no
13,4,no
13,5,no
13,6,no
13,7,no
13,10,no
13,12,no
13,15,no
13,16,no
13,18,no
13,20,no
13,22,no
13,23,no
13,25,no
13,26,no
13,27,no
13,28,no
13,29,no
13,30,no
13,31,no
13,32,no
13,33,no
13,34,no
13,39,no
13,41,no
13,42,no
13,44,no
13,45,no
13,50,no
4,4,yes
4,5,yes
4,10,yes
4,18,yes
4,51,yes
4,0,maybe
4,2,maybe
4,16,maybe
4,22,maybe
4,32,maybe
4,47,maybe
4,1,no
4,3,no
4,6,no
4,7,no
4,8,no
4,9,no
4,11,no
4,12,no
4,13,no
4,14,no
4,15,no
4,17,no
4,19,no
4,20,no
4,21,no
4,23,no
4,24,no
4,25,no
4,26,no
4,27,no
4,28,no
4,29,no
4,30,no
4,31,no
4,33,no
4,34,no
4,35,no
4,36,no
4,37,no
4,38,no
4,39,no
4,40,no
4,41,no
4,42,no
4,43,no
4,44,no
4,45,no
4,46,no
4,48,no
4,49,no
4,50,no
3,2,yes
3,3,yes
3,6,yes
3,25,yes
3,32,yes
3,35,yes
3,36,yes
3,37,yes
3,38,yes
3,40,yes
3,42,yes
3,47,yes
3,50,yes
3,8,maybe
3,11,maybe
3,17,maybe
3,18,maybe
3,31,maybe
3,41,maybe
3,43,maybe
3,46,maybe
3,49,maybe
3,51,maybe
3,0,no
3,33,no
3,34,no
3,4,no
3,5,no
3,7,no
3,39,no
3,10,no
3,12,no
3,44,no
3,45,no
3,15,no
3,48,no
3,19,no
3,20,no
3,21,no
3,22,no
3,23,no
16,4,yes
16,7,yes
16,31,yes
16,34,yes
16,51,yes
16,2,maybe
16,3,maybe
16,5,maybe
16,12,maybe
16,39,maybe
16,44,maybe
16,46,maybe
16,1,no
16,8,no
16,9,no
16,11,no
16,13,no
16,14,no
16,15,no
16,16,no
16,17,no
16,19,no
16,20,no
16,21,no
16,22,no
16,23,no
16,24,no
16,25,no
16,26,no
16,27,no
16,28,no
16,29,no
16,30,no
16,32,no
16,33,no
16,35,no
16,36,no
16,38,no
16,40,no
16,41,no
16,42,no
16,43,no
16,45,no
16,48,no
16,49,no
16,50,no
0,0,yes
0,23,yes
0,24,yes
0,28,yes
0,29,yes
0,30,yes
0,32,yes
0,37,yes
0,44,yes
0,14,maybe
0,18,maybe
0,26,maybe
0,40,maybe
0,1,no
0,2,no
0,4,no
0,5,no
0,7,no
0,8,no
0,9,no
0,10,no
0,12,no
0,13,no
0,15,no
0,16,no
0,19,no
0,20,no
0,21,no
0,22,no
0,25,no
0,27,no
0,31,no
0,34,no
0,35,no
0,36,no
0,38,no
0,39,no
0,41,no
0,42,no
0,43,no
0,45,no
0,46,no
0,47,no
0,48,no
0,49,no
0,50,no
0,51,no
23,3,yes
23,4,yes
23,10,yes
23,16,yes
23,32,yes
23,39,yes
23,42,yes
23,45,yes
23,6,maybe
23,8,maybe
23,31,maybe
23,34,maybe
23,48,maybe
23,0,no
23,1,no
23,2,no
23,5,no
23,7,no
23,11,no
23,12,no
23,13,no
23,14,no
23,15,no
23,17,no
23,18,no
23,19,no
23,20,no
23,21,no
23,22,no
23,23,no
23,25,no
23,26,no
23,27,no
23,28,no
23,29,no
23,30,no
23,33,no
23,35,no
23,36,no
23,37,no
23,38,no
23,40,no
23,41,no
23,43,no
23,44,no
23,46,no
23,47,no
23,49,no
23,50,no
23,51,no
10,9,yes
10,12,yes
10,13,yes
10,18,yes
10,21,yes
10,28,yes
10,30,yes
10,31,yes
10,32,yes
10,35,yes
10,37,yes
10,40,yes
10,0,no
10,1,no
10,2,no
10,3,no
10,4,no
10,5,no
10,6,no
10,7,no
10,10,no
10,14,no
10,15,no
10,16,no
10,17,no
10,19,no
10,20,no
10,22,no
10,23,no
10,24,no
10,25,no
10,26,no
10,27,no
10,29,no
10,33,no
10,34,no
10,36,no
10,38,no
10,39,no
10,41,no
10,42,no
10,43,no
10,44,no
10,45,no
10,46,no
10,47,no
10,49,no
10,50,no
10,51,no
7,0,yes
7,13,yes
7,22,yes
7,23,yes
7,26,yes
7,28,yes
7,29,yes
7,31,yes
7,37,yes
7,38,yes
7,40,yes
7,42,yes
7,43,yes
7,47,yes
7,49,yes
7,3,maybe
7,7,maybe
7,17,maybe
7,18,maybe
7,24,maybe
7,36,maybe
7,44,maybe
7,1,no
7,2,no
7,4,no
7,5,no
7,6,no
7,10,no
7,12,no
7,14,no
7,15,no
7,16,no
7,19,no
7,20,no
7,25,no
7,27,no
7,30,no
7,32,no
7,33,no
7,34,no
7,35,no
7,39,no
7,41,no
7,45,no
7,46,no
7,50,no
7,51,no
19,1,yes
19,4,yes
19,15,yes
19,16,yes
19,17,yes
19,18,yes
19,22,yes
19,37,yes
19,42,yes
19,44,yes
19,49,yes
19,51,yes
19,0,maybe
19,3,maybe
19,6,maybe
19,7,maybe
19,9,maybe
19,19,maybe
19,24,maybe
19,31,maybe
19,5,no
19,8,no
19,10,no
19,11,no
19,12,no
