Reviewer id,Submission number,Bid
12,128,yes
12,30,yes
12,267,yes
12,312,yes
12,51,yes
12,175,yes
12,108,yes
12,399,maybe
12,284,maybe
12,191,maybe
12,303,maybe
12,12,maybe
12,52,maybe
12,98,maybe
12,422,maybe
12,148,maybe
12,231,maybe
12,326,maybe
12,420,maybe
12,406,maybe
12,41,maybe
12,224,maybe
12,391,maybe
12,113,maybe
12,83,no
12,75,no
12,186,no
12,288,no
12,395,no
12,180,no
12,127,no
12,111,no
12,300,no
12,386,no
12,423,no
12,243,no
12,272,no
12,0,no
12,59,no
12,402,no
12,401,no
12,159,no
12,19,no
12,219,no
12,235,no
12,299,no
12,46,no
12,396,no
12,64,no
12,38,no
12,32,no
12,293,no
12,331,no
12,363,no
12,248,no
12,37,no
12,207,no
12,53,no
12,232,no
12,177,no
12,100,no
12,17,no
12,171,no
12,97,no
12,182,no
12,217,no
12,295,no
12,29,no
12,84,no
12,408,no
12,8,no
12,5,no
12,2,no
12,24,no
12,254,no
12,305,no
12,227,no
12,283,no
12,258,no
12,425,no
12,205,no
12,316,no
12,102,no
12,349,no
12,44,no
12,121,no
12,178,no
12,354,no
12,265,no
12,92,no
12,357,no
12,215,no
12,418,no
12,375,no
12,211,no
12,437,no
12,173,no
12,229,no
12,63,no
12,7,no
12,385,no
12,355,no
12,166,no
12,353,no
12,9,no
12,307,no
12,260,no
12,200,no
12,341,no
12,115,no
12,131,no
12,233,no
12,179,no
12,294,no
12,22,no
12,318,no
12,110,no
12,319,no
12,220,no
12,218,no
12,192,no
12,206,no
12,189,no
12,320,no
12,246,no
12,42,no
12,225,no
12,195,no
12,66,no
12,339,no
12,6,no
12,170,no
12,209,no
12,81,no
12,335,no
12,82,no
12,251,no
12,352,no
12,213,no
12,377,no
12,143,no
12,47,no
12,424,no
12,327,no
12,91,no
12,185,no
12,162,no
12,287,no
12,181,no
12,167,no
12,279,no
12,50,no
12,79,no
12,361,no
12,216,no
12,117,no
12,119,no
12,281,no
12,417,no
12,256,no
12,103,no
12,222,no
12,336,no
12,14,no
12,366,no
12,13,no
12,94,no
12,54,no
12,77,no
12,28,no
12,228,no
